# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/kr.battle.net/sc2/LOCALE/profile/AGGREGATED/achievements/,"7,020"
/eu.battle.net/sc2/LOCALE/game/heart-of-the-swarm-preview/,"7,017"
/us.battle.net/sc2/LOCALE/forum/13433/,"7,015"
/us.battle.net/sc2/LOCALE/game/unit/tempest,"6,953"
/eu.battle.net/sc2/LOCALE/game/unit/oracle,"6,874"
/us.battle.net/sc2/LOCALE/blog/19954443/AGGREGATED,"6,795"
/us.battle.net/sc2/LOCALE/blog/1316153/AGGREGATED,"6,789"
/us.battle.net/sc2/LOCALE/forum/2602864/,"6,781"
/kr.battle.net/sc2/LOCALE/game/race/,"6,761"
/tw.battle.net/sc2/LOCALE/game/unit/ravager,"6,760"
/eu.battle.net/sc2/LOCALE/game/unit/zealot,"6,734"
/us.battle.net/sc2/LOCALE/game/lore/the-story-of-starcraft/chapter1,"6,717"
/us.battle.net/sc2/LOCALE/blog/19829510/AGGREGATED,"6,693"
/eu.battle.net/sc2/LOCALE/forum/11861/,"6,623"
/eu.battle.net/sc2/LOCALE/game/unit/immortal,"6,621"
/kr.battle.net/sc2/LOCALE/blog/19938589/AGGREGATED,"6,588"
/kr.battle.net/sc2/LOCALE/game/lore/the-story-of-starcraft/chapter1,"6,477"
/tw.battle.net/sc2/LOCALE/blog/9883022/AGGREGATED,"6,437"
/us.battle.net/sc2/LOCALE/blog/19913940/AGGREGATED,"6,411"
/tw.battle.net/sc2/LOCALE/game/lore/,"6,342"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/ascension/1,"6,339"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/10,"6,310"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/3,"6,205"
/kr.battle.net/sc2/LOCALE/profile/AGGREGATED/ladder/,"6,189"
/eu.battle.net/sc2/LOCALE/game/unit/marauder,"6,185"
/tw.battle.net/sc2/LOCALE/media/wallpapers/,"6,163"
/eu.battle.net/sc2/LOCALE/game/unit/battlecruiser,"6,149"
/kr.battle.net/sc2/LOCALE/blog/19930660/AGGREGATED,"6,111"
/us.battle.net/sc2/LOCALE/game/unit/oracle,"6,096"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/children-void/1,"6,087"
/us.battle.net/sc2/LOCALE/game/unit/hellbat,"6,071"
/kr.battle.net/sc2/LOCALE/game/patch-notes/,"6,038"
/sea.battle.net/sc2/LOCALE/game/,"6,038"
/eu.battle.net/sc2/LOCALE/game/unit/stalker,"6,008"
/us.battle.net/sc2/LOCALE/game/unit/immortal,"5,981"
/us.battle.net/sc2/LOCALE/game/unit/widow-mine,"5,936"
/us.battle.net/sc2/LOCALE/media/comics/,"5,931"
/eu.battle.net/sc2/LOCALE/game/unit/ultralisk,"5,898"
/tw.battle.net/sc2/LOCALE/game/unit/lurker,"5,889"
/us.battle.net/sc2/LOCALE/game/unit/archon,"5,884"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/4,"5,878"
/eu.battle.net/sc2/LOCALE/game/unit/viper,"5,855"
/eu.battle.net/sc2/LOCALE/forum/11899/,"5,848"
/eu.battle.net/sc2/LOCALE/game/unit/thor,"5,799"
/eu.battle.net/sc2/LOCALE/game/unit/mothership-core,"5,794"
/eu.battle.net/sc2/LOCALE/forum/44100/,"5,748"
/us.battle.net/sc2/LOCALE/forum/18461203/,"5,734"
/tw.battle.net/sc2/LOCALE/search,"5,725"
/eu.battle.net/sc2/LOCALE/forum/11868/,"5,680"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/rewards/terran-decals,"5,678"
/us.battle.net/sc2/LOCALE/game/strategy-guide/,"5,666"
/kr.battle.net/sc2/LOCALE/game/heart-of-the-swarm-preview/,"5,649"
/kr.battle.net/sc2/LOCALE/blog/19941394/AGGREGATED,"5,636"
/kr.battle.net/sc2/LOCALE/blog/19936411/AGGREGATED,"5,610"
/kr.battle.net/sc2/LOCALE/game/guide/whats-sc2,"5,599"
/us.battle.net/sc2/LOCALE/blog/19956930/AGGREGATED,"5,537"
/eu.battle.net/sc2/LOCALE/game/unit/mothership,"5,514"
/us.battle.net/sc2/LOCALE/game/unit/viper,"5,506"
/eu.battle.net/sc2/LOCALE/game/hero/kerrigan,"5,505"
/eu.battle.net/sc2/LOCALE/game/unit/carrier,"5,498"
/tw.battle.net/sc2/LOCALE/blog/19960700/AGGREGATED,"5,494"
/eu.battle.net/sc2/LOCALE/blog/19946443/AGGREGATED,"5,444"
/us.battle.net/sc2/LOCALE/game/unit/zealot,"5,420"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/2,"5,415"
/us.battle.net/sc2/LOCALE/game/heart-of-the-swarm-preview/,"5,415"
/tw.battle.net/sc2/LOCALE/game/race/protoss/,"5,402"
/us.battle.net/sc2/LOCALE/game/unit/mothership-core,"5,387"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/5,"5,374"
/us.battle.net/sc2/LOCALE/game/unit/stalker,"5,355"
/eu.battle.net/sc2/LOCALE/game/unit/swarm-host,"5,348"
/eu.battle.net/sc2/LOCALE/forum/11897/,"5,326"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/2,"5,316"
/us.battle.net/sc2/LOCALE/blog/19957348/AGGREGATED,"5,302"
/kr.battle.net/sc2/LOCALE/profile/AGGREGATED/matches,"5,282"
/us.battle.net/sc2/LOCALE/forum/13436/,"5,279"
/us.battle.net/sc2/LOCALE/game/unit/marine,"5,273"
/eu.battle.net/sc2/LOCALE/game/unit/scv,"5,267"
/eu.battle.net/sc2/LOCALE/blog/19817454/AGGREGATED,"5,265"
/eu.battle.net/sc2/LOCALE/game/unit/colossus,"5,251"
/us.battle.net/sc2/LOCALE/blog/19960162/AGGREGATED,"5,250"
/eu.battle.net/sc2/LOCALE/game/unit/ghost,"5,246"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/8,"5,239"
/eu.battle.net/sc2/LOCALE/game/unit/void-ray,"5,224"
/eu.battle.net/sc2/LOCALE/forum/11850/,"5,209"
/tw.battle.net/sc2/LOCALE/game/hero/,"5,157"
/eu.battle.net/sc2/LOCALE/game/unit/roach,"5,098"
/kr.battle.net/sc2/LOCALE/blog/19930935/AGGREGATED,"5,080"
/us.battle.net/sc2/LOCALE/game/unit/dark-templar,"5,080"
/us.battle.net/sc2/LOCALE/game/unit/marauder,"5,041"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/4,"5,035"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/6,"5,032"
/us.battle.net/sc2/LOCALE/game/unit/swarm-host,"5,032"
/eu.battle.net/sc2/LOCALE/game/unit/hydralisk,"5,030"
/us.battle.net/sc2/LOCALE/forum/20013851/,"5,025"
